ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
P39952	0.165320879071899	27.8591862568915	1.61580968341399	0.144575411278261	0.235789018515968	-6.21427175996833
P38713	0.164895367738417	27.7960269124618	2.20655753394865	0.0581994808833978	0.118516681668985	-5.34896072014053
P17106	0.164706540553802	29.6148391071849	2.3382556003385	0.0473632956912093	0.100908612302005	-5.14508935705457
P02381	0.164463440230978	28.193244538731	2.21819770303798	0.0571499445250748	0.116788451717512	-5.33104790231323
P38878	0.163922629587223	28.2167657238476	1.03320940309845	0.331554103390487	0.446920670978833	-6.91917114295274
P53953	0.163260435093814	28.7744503346145	2.66398041435364	0.0284800061539321	0.0683181239935312	-4.63300672448829
P14693	0.162293673596409	27.199304156975	2.0327245162261	0.0763246241145596	0.145304085867553	-5.61342390701521
P53109	0.162036942174645	26.1872774482708	1.02194360562709	0.336543278134959	0.451706794752277	-6.93063594215644
Q07084	0.160939183839069	24.8125296073446	0.642699398963295	0.538295200680819	0.639991334952082	-7.25508140046925
P25719	0.160680318933466	31.2586450167662	1.6621459369836	0.134834861187256	0.224176368679501	-6.15052618938287
P38623	0.160381440544661	28.9862237555101	2.49035329896321	0.0373353478438892	0.0835778429591062	-4.90699271215721
P53107	0.159423853944794	27.4933015362481	1.24863316683834	0.246898892894414	0.355266848208626	-6.68242167627873
P04037	0.158972445581377	31.6148945066096	2.29524227659874	0.0506611686479711	0.106202075279426	-5.21194864864437
P25558	0.158946862400612	27.2862777955633	1.53881236679311	0.162189928080139	0.257798573775304	-6.31813329327937
Q06107	0.157579219408678	26.8966955696556	1.25215680790679	0.245678045291564	0.354328115022439	-6.67828947608831
P08067	0.15730910846888	30.7579057777907	1.53605262250541	0.162855839598853	0.258294636286845	-6.32180561102334
P18759	0.155821041008625	30.7606246183099	1.81554566096903	0.106758764916851	0.188284732273163	-5.93354933840148
Q03654	0.155557041562158	24.3866930147244	0.96694874386778	0.361726457409657	0.476724439664368	-6.9851970086724
P32266	0.155108400870407	28.4389173826505	2.61911582310713	0.030539735510938	0.0719957243516325	-4.70395403041338
P53045	0.15489358305928	29.7655467978346	1.29880989316211	0.22998633697491	0.336497282950219	-6.62285066038619
P57743	0.1545127253906	26.4127418567811	1.3883960290022	0.202238163925437	0.305158596890861	-6.51275851419031
P40484	0.154217922634594	26.326958405303	1.66029945756067	0.135211181879813	0.224552972485736	-6.15308342248777
P29311	0.154097130601777	35.0743459371492	1.67694491964763	0.13185347310341	0.220741872172054	-6.12998103342943
P48231	0.153977699805687	30.1813217510594	1.93059364203457	0.0894235298440415	0.165174607144098	-5.76561517114436
P04710	0.153324577108943	32.06262778381	1.54495639771287	0.160716202601082	0.256357366444545	-6.30994475170755
